"item_id","item_pymnt_amount","item_desc_dutch","item_desc_translation","item_location","month","year","manuscript","folio_num"
23,"3 lb 12 s","Van ½ daghe ghewerct","for half day of work",1,"NULL",1405,1214,"5v"
24,"40 s","om een tortijsroede","for a candle holder",1,"NULL",1405,1214,"5r"
25,"4 s","aen Sinte Keerstoluels stellinghe te maken","for making the stand for Saint Cristoffel",1,"July",1452,1214,"15r"
26,"2 s","te Dormale aen den win te naghelen","for putting up the trellis on the chimney in Dormale",3,"July",1452,1214,"15v"
27,"3 s","te zeelen","for cords",1,"July",1452,1214,"15v"
28,"2 s","van ghevitsen vinsteren","for shutting or securing the windows",1,"July",1452,1214,"15v"
29,"2 s","ghecoft 4 lampen","purchased four lamps",1,"August",1452,1214,"15v"
30,"11 gripen 7½ s","ghecoft 2 rollen loets weghende 245 lb dat honderd cost 2 cronen","purchased two rolls of lead weighing 245 lbs at a cost of 2 crowns per hundred (lbs)",1,"August",1452,1214,"15v"
31,"4 st","verdient","earned for unstated work",1,"August",1452,1214,"15v"
32,"9 s","aen die boeke te oversiene","to oversee the book",1,"August",1452,1214,"15v"
33,"4 s","ghewract 1 dach","unstated work for one day",1,"August",1452,1214,"15v"
34,"3 peters","van Sijnte Keerstoluels te maken","for making a St. Christoffel (presumably a statue?)",1,"August",1452,1214,"15v"
35,"4 s","verdient","earned for unstated work",1,"August",1452,1214,"15v"
36,"5 gripen 2 s","1300 sceversteene dar af dat dusent cost 2 Rijnse gulden maken 5gripen 2s","1300 pieces of slate (roofing tile?) at a cost of two Rijn Gilders per thousand for a total of 5 gripen 2 s",1,"September",1452,1214,"16r"
37,"22 ½ s","2000 latnaghele ende 4000 sceversteennaghele te Ludic ghehaelt","2000 lath nails and 4000 slate nails brought from Liege",1,"September",1452,1214,"16r"
38,"3 ½ s","Voer 2 gheselle te Ludic gheweest metten waghene","for the two workshop colleagues who accompanied the wagon to Liege",1,"September",1452,1214,"16r"
39,"4 s","unstated work",,1,"September",1452,1214,"16r"
40,"7 ½ s","Gheweest 5 daghe in orbore der keercken","for 5 days working on behalf of the church",1,"September",1452,1214,"16r"
41,"6 s","noch aen zeele","for another cord or strap",1,"September",1452,1214,"16r"
42,"19 s","die cleyne legende te bindenne","for binding the small martyrology (Golden Legend)",1,"September",1452,1214,"16r"
43,"9 s","enen dach ghwract","one day’s work",1,"September",1452,1214,"16r"
44,"18 s","3 daghe elc daech 6st maken 18st","three days of work at 6 s per day for a total of 18 s",1,"September",1452,1214,"16r"
45,"2 s","aen leem","for plaster",1,"September",1452,1214,"16r"
46,"7 s","ghewract 2 daghe ter scoliere elcs daech 3.5 st","worked for 2 days for the choir students (female) each day 3 ½ s",1,"September",1452,1214,"16r"
47,"19 s","aen die gordinen in den hoghen choer hermaect 33 loet garens ghecoft","for repairing the curtains in the high choir and for the purchase of 33 weights of woolen thread",1,"September",1452,1214,"16r"
48,"24 s","aen een wywatervat","for a holy water bowl",1,"September",1452,1214,"16r"
49,"36 s","aen die legenden ende boeke te scrivene meter stoffe","to write a martyrology (legend) and book with paint",1,"October",1452,1214,"16v"
50,"8 s","ghewracht 2 daghe","worked for two days",1,"October",1452,1214,"16v"
51,"8 s","enen groten sautere te bindenne","for binding a large Psalter",1,"October",1542,1214,"16v"
52,"5 ¼ gripen","ghecoft 30 ellen linens lakens ellic elle 7pl","purchased 30 ells of linen cloth each ell 7 pl",1,"October",1452,1214,"16v"
53,"45 s 3 ½ pl","4 ½ dach ghewract in keerkhuys elcs dachs 23pl","4 ½ days of work in the church house each day 23 pl",1,"October",1452,1214,"16v"
54,"6 s 3 gr","aen tieghelen ghecoft","purchased tiles (roof tiles?)",1,"October",1452,1214,"16v"
55,"2 s","aen leem ende savel","for lime (plaster) and sand (possibly for mortar?)",1,"October",1452,1214,"16v"
56,"3 ½ s","gheplact 1 dach","one day of usual work",1,"October",1452,1214,"16v"
57,"20 s ","ghewract in die winninghe te Dormale","worked on the farm in Dormale",3,"October",1452,1214,"16v"
58,"3 s","2 busselen latten","two bushels of lath battens (for roofing?)",1,"October",1452,1214,"16v"
59,"14 s","van der stellinghen te make 3 ½ dach","for making the stand 3 ½ days",1,"October",1452,1214,"17r"
60,"14 s","3 ½ dage","3 ½ days work",1,"October",1452,1214,"17r"
61,"24 s","ghewract 6 daghe sdaechs 4s","worked six days each day 4 s",1,"October",1452,1214,"17r"
62,"15 s","een ander 5 daghe elken dach 3s","another 5 days each day 3 s",1,"October",1452,1214,"17r"
63,"10 s","5 daghe elken dach 3st","five days’ work each day 3 s",1,"October",1452,1214,"17r"
64,"5 s","enen dach","one day's work",1,"October",1452,1214,"17r"
65,"6 s","1 ½ dach","one-and-a-half day's work",1,"October",1452,1214,"17r"
66,"6 gripen 8 s 1 pl","39 pande ghelas hermaect ellic pant 7pl","39 pounds of glass restored each pound 7 pl",1,"October",1452,1214,"17r"
67,"5 gripen ½ s","33 voete nu ghelas elken voet 1 ½ st","33 feet of new glass each foot 1 ½ s",1,"October",1452,1214,"17r"
68,"1½ s","1 dach","one day's work",1,"October",1452,1214,"17r"
69,"2 s","van wercke","for work",1,"November",1452,1214,"17r"
70,"24 s","10 ellen dwelen ende 1 vierdel","10 and one quarter ells ‘twirled’ cloth",1,"November",1452,1214,"17r"
71,"15 pl","Ghecoft 1 ½ elle coghelleers","purchased 1 ½ ells of cloak material",1,"November",1452,1214,"17r"
72,"5 s 1 pl","van enen wywatercupen ende van anderen wercke te maken","for making a holy water cup and other work",1,"November",1452,1214,"17r"
73,"4 s","van wercke","for work",1,"December",1452,1214,"17v"
74,"3 gripen","van der legenden daer SynterClaes legend in staet van bindene","for binding the martyrology which includes the legend of St. Nicolas (of Bari)",1,"December",1452,1214,"17v"
75,"7 ½ s","verdient aen alderhans werct in die keercke","earned for various work in the church",1,"December",1452,1214,"17v"
76,"20 s ","van den silveren wyeroeckevate te maken","for making a silver censer",1,"January",1453,1214,"17v"
77,"27 s","2 cloczeele waghende 54lb elc lb ½ st","two clock brackets (iron) weighing 54 pounds each pound ½ s",1,"January",1453,1214,"17v"
78,"8 s","van wercke in de keercke ghemaect","for work done in the church",1,"January",1453,1214,"17v"
79,"21 s 1 pl","van sloten ende anderen wercke in die kercke","for locks and other work in the church",1,"February",1453,1214,"18r"
80,"6 gripen","ghecoft 15 bielgen","purchased fifteen statuettes) alternate (purchased 15 patches (purchased 15 axes",1,"February",1453,1214,"18r"
81,"7 pl","hout ghehouden ende pote gheset 3 daghe","three days’ work hewing wood and setting a post",1,"March",1453,1214,"18r"
82,"7 s 3 ½ pl","aen selve werc 4 ½ dach sdaechs 7pl","four-and-a-half days’ work for the same work (hewing wood and setting a post) each day 7 pl",1,"March",1453,1214,"18r"
83,"1½ s","1 dach ghewract int hout","one day working in the woods",1,"March",1453,1214,"18r"
84,"5 pl","verdient aen bornvat","earned toward a water can?",1,"March",1453,1214,"18r"
85,"3 ½ s","die goten te veghene op die keercke ende die vijnte scoen te makenne","for sweeping the gutters on the church and for cleaning the vault",1,"March",1453,1214,"18r"
86,"10 s 15 gr","ghecoft 2m calx ende 1 h om","purchased two m (chalk or lime) and one h om",1,"April",1453,1214,"18v"
87,"43 s 3 gr","ghewract int keerchuys 7 ½ dach elcs dachs 23pl","worked in the church seven-and-a-half days each day 23 pl",1,"April",1453,1214,"18v"
88,"21 s 1 pl","ghecoft 850 deectieghelen ellic hondert 2 ½ st","purchased 850 roof tiles at a cost of 2 ½ s per hundred tiles",1,"April",1453,1214,"18v"
89,"7 s","verdient aen alderhans werc in die keercke","earned for various work in the church",1,"April",1453,1214,"18v"
90,"5 s","van garne aen die gordinen te makene","for woolen thread to make the curtains",1,"May",1453,1214,"18v"
91,"1½ s","van der vijnten scoen te makene","for cleaning the vaults",1,"May",1453,1214,"18v"
92,"15 pl","1 elle Iers lakens ghecoft gherorbeert aen messeghewede","one ell Irish linen purchased to be used for clothing for the Mass",1,"May",1453,1214,"18v"
93,"10 s","verdient aen alderhans werct","earned for various work",1,"June",1453,1214,"18v"
94,"16 gripen 2 s","betaelt voer drie bielgen te snidene 9 peters","paid for carving three statuettes 9 peters (per statuette) [alternate-paid for cutting three patches 9 peters (per patch)]",1,"June",1453,1214,"18v"
95,"2 s","aen scrinehout","for high-quality (shrine) wood",1,"June",1453,1214,"18v"
96,"11 s","hout gechocht","purchased wood",1,"July",1453,1214,"37v"
97,"4 ½ s","geweest te Ziegene om stene 1 ½ dach","sent to Ziegene (on the Maas) for stone one-and-a-half days",1,"July",1453,1214,"37v"
98,"36 s","ghehaelt 2 voeder steens te Ziegene op die Mase die costeden op die cuycte","brought two wagon loads of stone from Ziegene on the Maas which cost (op die cuycte)",1,"July",1453,1214,"37v"
99,"4 gripe","betaelt des anders dachs na Sunte Marien Magdaleenen dach ende al vol betaelt van 3 jaren voerleden van sunen wedden","paid in full the day after St. Mary Magdalen’s Day for three years’ worth of yearly stipends",1,"July",1453,1214,"37v"
100,"1½ s","te nagelen","for nails",1,"July",1453,1214,"37v"
101,"1½ s","aen bijntzeele","for twine",1,"July",1453,1214,"37v"
102,"2 ½ s","aen scrynenhout","for high-grade cabinetry wood [alternate-for wood for a shrine]",1,"July",1453,1214,"37v"
103,"6 s","3 dage gewracht daghes 2s","three days’ work a 2 s per day",1,"July",1453,1214,"37v"
104,"6 s","3 dage","three days’ work",1,"July",1453,1214,"37v"
105,"9 pl","1 ½ dach","one-and-a-half day's work",1,"July",1453,1214,"37v"
106,"7 s","Dieste gheweest om den meeldere in orber der keercken","traveled to the miller in Dinant in the service of the Church",1,"July",1453,1214,"37v"
107,"2 s","tot Dieste geweest om Sinte Lenaert wille","traveled to Dinant at the request of St. Leonard’s",1,"July",1453,1214,"37v"
108,"20 peters","van den tabernakelen te makenne aen parvijs","for making the tabernacles in the Paradise Portal of the church [principle portal, near the chapel of St. Leaonard]",1,"July",1453,1214,"37v"
109,"7 ½ peters","van den drie tabernacelen","(bielgen) to stofferen (for painting the three tabernacles (statuettes)",1,"July",1453,1214,"37v"
110,"10½ s","aen Sinte Augustijn te stofferenne","for painting a St. Augustine",1,"August",1453,1214,"38r"
111,"7 s","1 dach","one day's work",1,"August",1453,1214,"38r"
112,"8 s","gewracht 2 daghe elke dach 4s","worked two days at a rate of 4 s per day",1,"August",1453,1214,"38r"
113,"10½ s","3 ½ dach dages 3s","three-and-a-half days’ work at a rate of 3 s per day",1,"August",1453,1214,"38r"
114,"5 ½ s","3 dage","three days’ work",1,"August",1453,1214,"38r"
115,"9 pl","2 ½ dach","two-and-a-half days’ work",1,"August",1453,1214,"38r"
116,"30 s","van drie stenen te stofferenne aen poertael","for painting three stones in the portal",1,"August",1453,1214,"38r"
117,"22 s","van der loetten goten te makenne metten soudeersele","for making lead gutters with salt solder",1,"September",1453,1214,"38v"
118,"16 s","gewracht 4 dagee elcken dach 4s","worked four days at a rate of 4 s per day",1,"September",1453,1214,"38v"
119,"27 s","noch 3 daghe dages 9s","(worked) another three days at a rate of 9s per day",1,"September",1453,1214,"38v"
120,"12 s","4 dage","four days’ work (unspecified)",1,"September",1453,1214,"38v"
121,"3 ½ s","2 dage","two days’ work (unspecified)",1,"September",1453,1214,"38v"
122,"1 s","unstated work",,1,"September",1453,1214,"38v"
123,"3 ½ s","2 dage dages 7pl","two days’ work (unspecified) at a rate of 7 pl per day",1,"September",1453,1214,"38v"
124,"4 ½ s","unstated work","possibly for watchman duties?",1,"September",1453,1214,"38v"
125,"3 ½ s","2 dage","two days’ work (unspecified)",1,"September",1453,1214,"38v"
126,"4 ½ s","3 dage","three days’ work (unspecified)",1,"September",1453,1214,"38v"
127,"9 s","3 dage","three days’ work (unspecified)",1,"September",1453,1214,"38v"
128,"4 s","metter kerren enen dach","one day (of work) with the cart",1,"September",1453,1214,"38v"
129,"2 s","unstated work",,1,"September",1453,1214,"38v"
130,"3 ½ s","2 dage","two days’ work (unspecified)",1,"September",1453,1214,"38v"
131,"8 s","2 dage","two days’ work (unspecified)",1,"September",1453,1214,"38v"
132,"20 s ","kalcx gechocht","chalk or lime (for plaster or mortar?)",1,"October",1453,1214,"39r"
133,"3 s","Aen 3 corporlare te waschene","for washing three corporals",1,"October",1453,1214,"39r"
134,"12 s","4 dage","four days’ work (unspecified)",1,"October",1453,1214,"39r"
135,"7 s","4 dage","four days’ work (unspecified)",1,"October",1453,1214,"39r"
136,"16 ½ gripen","die scelle ter scoliere waect 100 pont 13 min","for the bell at the (female) choir school weighing 100 pounds 13 min (?)",1,"October",1453,1214,"39r"
137,"16 gripen","die tafele in Sinte Leonarts choer","the panel in the choir at St. Leonard’s",1,"October",1453,1214,"39r"
138,"12 gripen","van der tafelen","(en bielgen) te stofferenne (for painting the panel (and statuettes)",1,"October",1453,1214,"39r"
139,"8 s","4 dage","four days’ work (unspecified)",1,"October",1453,1214,"39r"
140,"5 s","for plaster work","unstated but workman identified as a plasterer",1,"October",1453,1214,"39r"
141,"3 s 3 pl","for plaster work","unstated but workman identified as a plasterer’s apprentice",1,"October",1453,1214,"39r"
142,"6 s","van zegene","for sawing",1,"October",1453,1214,"39r"
143,"6 s","for sawing",,1,"October",1453,1214,"39r"
144,"3 s","2 dage","two days’ work (unspecified)",1,"October",1453,1214,"39r"
145,"12 s","6 dage","six days’ work",1,"October",1453,1214,"39r"
146,"12 s","6 dage","six days’ work",1,"October",1453,1214,"39r"
147,"4 s","aen den kelc te wyene","for consecrating the chalice [alternate-for clearing the chalice]",1,"October",1453,1214,"39r"
148,"8 ½ s","een hout gechocht","purchased (a piece) of wood (lumber) [alternate-purchased a beam]",1,"October",1453,1214,"39r"
149,"2 s","een riem gechocht aen de scelle ter scoliere","purchased a cord for the bell at the (female) choir school",1,"October",1453,1214,"39r"
150,"2 s","een cloczeel ter scoliere","a clock strap at the (female) choir school",1,"November",1453,1214,"39v"
151,"1½ s","gewracht ½ dach","half-day’s work",1,"November",1453,1214,"39v"
152,"5 ½ gripe","van berde te Dormale georbert","by horse for service (to work) in Dormale",1,"November",1453,1214,"39v"
153,"2 s","1 dach","one day's work",1,"November",1453,1214,"39v"
154,"2 s","1 dach","one day's work",1,"November",1453,1214,"39v"
155,"13 s","6 ½ dach","six-and-a-half days’ work",1,"November",1453,1214,"39v"
156,"13 s","6 ½ dach","six-and-a-half days’ work",1,"November",1453,1214,"39v"
157,"2 s 1 oert","1 ½ dach","one-and-a-half day's work",1,"November",1453,1214,"39v"
158,"5 s","van den wercke ter scoliere te vicenterene","for work on the Visitation at the (female) choir students’",1,"November",1453,1214,"39v"
159,"1½ s","½ dach","half-day's work",1,"November",1453,1214,"39v"
160,"4 s","ghezeegt 2 dage dages 2s","sawed for two days at a rate of 2 s per day",1,"December",1453,1214,"39v"
161,"4 s","unstated work associated with sawing",,1,"December",1453,1214,"39v"
162,"2 s","van wercke","for work",1,"December",1453,1214,"39v"
163,"10 s","gewracht te scoliere","worked at the (female) choir school",1,"December",1453,1214,"39v"
164,"8 s","4 dage met Kendeleren ghewracht ter scoliere","four days’ work with Kendelren at the (female) choir school",1,"December",1453,1214,"39v"
165,"4 s","1 dach","one day's work",1,"December",1453,1214,"39v"
166,"1 s","noch van dienste","for further work (service)",1,"December",1453,1214,"39v"
167,"2 s","van dienste","for work (service)",1,"January",1454,1214,"40r"
168,"4 s","van dienste","for work (service)",1,"January",1454,1214,"40r"
169,"2 s","van dienste","for work (service)",1,"January",1454,1214,"40r"
170,"6 gripen 9 s","van den torne te makenne ter scoliere","for making the tower at the (female) choir school",1,"January",1454,1214,"40r"
171,"4 s","aen een zeel","for a strap",1,"January",1454,1214,"40r"
172,"10 s","verdient van nayene der kercken","for sewing services in the church",1,"January",1454,1214,"40r"
173,"3 s","gewracht 1 ½ dach","one-and-a-half day's work",1,"January",1454,1214,"40r"
174,"2 s","1 dach","one day's work",1,"January",1454,1214,"40r"
175,"4 gripen","verdient","earned for unstated roofing work",1,"February",1454,1214,"41r"
176,"5 s","latten te Dormale georbert","roofing slats for use in Dormale",1,"February",1454,1214,"41r"
177,"3 s","te nagelen","for nails",1,"February",1454,1214,"41r"
178,"1 s","unstated work","unstated work",1,"February",1454,1214,"41r"
179,"1 s","unstated work","unstated work",1,"February",1454,1214,"41r"
180,"1 s","unstated work","unstated work",1,"February",1454,1214,"41r"
181,"1 s","unstated work","unstated work",1,"February",1454,1214,"41r"
182,"2 s","van den eyken te halene","for transporting oak",1,"March",1454,1214,"41v"
183,"2 s","unstated work","unstated work",1,"March",1454,1214,"41v"
184,"2 s","unstated work","unstated work",1,"March",1454,1214,"41v"
185,"8 gripen 4 s","gecocht 3 eyken","purchased 3 (pieces) of oak",1,"March",1454,1214,"41v"
186,"8 gripen 4 s","betaelt","paid (for unspecified smith work)",1,"March",1454,1214,"41v"
187,"19 gripen 6 s","gecocht 10 eyken te Leewe ghelevert","purchased 10 (pieces of) oak delivered to Leewe",5,"April",1452,1214,"42r"
188,"1 s","van dienste","for work (service)",1,"April",1452,1214,"42r"
189,"6 s","van den crucifix te makenne","for making the crucifix",1,"April",1454,1214,"42r"
190,"5 s","for unstated roofing work",,1,"April",1454,1214,"42r"
191,"4 gripen","gecocht 8m kalcx","purchased 8 m of chalk or lime",1,"April",1454,1214,"42r"
192,"11 s","aen twe clocrieme","for two clock straps",1,"April",1454,1214,"42r"
193,"1 s","van dienste","for work (service)",1,"May",1454,1214,"42v"
194,"3 gripen 7 ½ s","van houte","for wood",1,"May",1454,1214,"42v"
195,"5 s","2 ½ dach opten toren gewracht","for two-and-a-half days’ work on the tower",1,"May",1454,1214,"42v"
196,"5 s","2 ½ dach","two-and-a-half days’ work",1,"May",1454,1214,"42v"
197,"7 pl","1 dach","one day's work",1,"May",1454,1214,"42v"
198,"2 s","1 dach","one day's work",1,"May",1454,1214,"42v"
199,"1½ s","1 dach","one day's work",1,"May",1454,1214,"42v"
200,"44 gripen","verdinct van den toern te makene by rade der stad ende met rade meester Mattheus","earned for building the tower with the council of the city and the advice of Master Mattheus",1,"May",1454,1214,"42v"
201,"41 gripen","van den metalen pannen daer die clocken in ligghen metter vracht","for the metal pans in which the bells lay along with freight",1,"May",1454,1214,"42v"
202,"15 s","doe men Sinte Leonarde omdroech smaendachs in die Pinxen daghe aen die pipers metter trompetten","for the pipers and trumpet players when Saint Leonard was processed",1,"June",1454,1214,"42v"
203,"8 s","noch aen 8 gesellen die speelden saerspel","for eight companions who played the drums (for the procession)",1,"June",1454,1214,"42v"
204,"1 peter","aen die gesellen van den spele","for the company of players",1,"June",1454,1214,"42v"
205,"1 s","unstated work","unstated work",1,"June",1454,1214,"42v"
206,"1 s","opten toren verdient","worked on the tower",1,"June",1454,1214,"42v"
207,"1 s","unstated work","unstated work",1,"June",1454,1214,"42v"
208,"15 s","van dienste","for work cleaning in the church",1,"June",1454,1214,"42v"
209,"1 s","te papiere","for paper",1,"June",1454,1214,"42v"
210,"9 gripen 3 s","Verdient 17 dage dages 5 ½ s","earned for seventeen days’ unstated roofing work at a rate of five-and-a-half stuivers per day",1,"June",1454,1214,"42v"
211,"22 s","verdient van alderhans wercke","earned for various work",1,"June",1454,1214,"42v"
212,"5 s 1 oert","van 7 corporael te waschene","for washing seven corporals",1,"June",1454,1214,"42v"
213,"9 gripen","verdient in de kercke ende opten toren aen alderhans yserwercke","earned for various ironwork for the church and for the tower",1,"June",1454,1214,"43r"
214,"21 h","4 voeder savels gehaelt ende noch enen dach der selve tot Namen een voeder kalcx gehaelt","brought four wagon loads of sand and (and again) to Namen (for) a wagonload of chalk",6,"June",1454,1214,"119r"
215,"2 m","opten tijt 1 voder kalcx gehaelt tot Namen der selve een voeder oerduyne ende 3 voeder leems","brought one wagonload of chalk to Namen (as well as) a wagonload of blue stone and three wagonloads of lime (plaster)",6,"June",1454,1214,"119r"
216,"12 h","1 ½ dach savel gevoert die selve 1 dach koreele gevoert die selve 1 dach oerduyne gehaelt","transported sand for one-and-a-half days (and also) transported tiles for one day (and also) transported blue stone for one day",1,"June",1454,1214,"119r"
217,"12 h","1 voeder oerduyne gehaelt die selve 1 dach te Gobbertingen geweest die","transported one wagonload of blue stone (and also) went to Gobertange for one day",7,"June",1454,1214,"119r"
218,"NULL","selve 1 voeder koreele gehaelt ter Nouwerkercken","and also one wagonload of tile from Nieuwerkercken",8,"June",1454,1214,"119r"
219,"4 h","een voere ter Nouwerkercken gedaen","made a trip to Nieuwerkercken",8,"June",1454,1214,"119r"
220,"11 h","2 voeren te Woelmerseem gedaen ende 1 voeder oerduyne hegaelt","made two trips to Wolmersheem and transported one wagonload of blue stone",9,"June",1454,1214,"119r"
221,"NULL","die selve 1 voere tot Gobbertinghen","and also a trip to Gobbertange",7,"June",1454,1214,"119r"
222,"2 h","1 voeder orduyne gehaelt","transported one wagonload of blue stone",1,"June",1454,1214,"119r"
223,"5 h","1 voere te Wolmerzeem die selve 1 dach koreel gevoert die selve noch 2 voeder koreele gevoert","made one trip to Wolmersheem (and also) transported tiles for one day (and also) transported another two wagonloads of tile",9,"June",1454,1214,"119r"
224,"2 h","metter kerren","with the wagon, unspecified work",1,"June",1454,1214,"119r"
225,"6 h","verdient","earned for unstated work",1,"June",1454,1214,"119r"
226,"12 h","verdient metten wagene","earned with the wagon",1,"June",1454,1214,"119v"
227,"4 ½ h","een voere ter Gobbertingen met 4 perden","for a trip to Gobertange with four horses",7,"June",1454,1214,"119v"
228,"6 h","verdient","earned for unstated work",1,"June",1454,1214,"119v"
229,"6 h","unstated work",,1,"June",1454,1214,"119v"
230,"2 gripen","linen laken ghecocht te twe autaerclederen","purchased linen for two altar cloths",1,"July",1454,1214,"125r"
231,"1 gripe","van den lakenen te verwene","for dyeing the cloth",1,"July",1454,1214,"125r"
232,"36 s","2 duysent sceverstene tot Luydicke gehaelt","transported two-thousand slates (roofing tiles) to Lathuy",4,"July",1454,1214,"125r"
233,"1 s","te wegelde","for travel costs (per diem)",4,"July",1454,1214,"125r"
234,"14 s","coren tot Dieste gevoert ende die kandeleren bracht ende 2 voeder houts gehaelt","transported grain to Diest and brought back “kandeleren” (chandeliers? Lights?) and two wagonloads of wood",10,"July",1454,1214,"125r"
235,"28 s","die kandeleren te verwene","for painting the chandeliers? [Need better translation?]",1,"July",1454,1214,"125r"
236,"9 pl","te papiere daer men die vormen afsneet","for paper from which one cuts printed saint images (formen)",1,"August",1454,1214,"125v"
237,"5 s","van der stellingen te makenne 2 ½ dach dages 2s","for making the stand two-and-a-half days at a rate of 2 s per day",1,"August",1454,1214,"125v"
238,"4 s","2 dage","two days’ work (unspecified)",1,"August",1454,1214,"125v"
239,"12 s","der cronen te verwene","for painting the crowns (on statues?)",1,"August",1454,1214,"125v"
240,"1 s","verdient","earned for unstated work",1,"August",1454,1214,"125v"
241,"½ s","unstated work",,1,"August",1454,1214,"125v"
242,"6 gripen","48 ponde gelas oermaecht, van elken pande 5pl","for transferring (remaking) 48 pounds of glass 5 pl for each building",1,"August",1454,1214,"125v"
243,"3 gripen","betaelt int jaer van LIIItich","paid (for unstated work) in the LIIIIth year",1,"September",1454,1214,"126r"
244,"1½ s","verdient","earned for unstated work",1,"September",1454,1214,"126r"
245,"3 s","gewracht 1 ½ dach","one-and-a-half day's work",1,"September",1454,1214,"126r"
246,"3 s","1 ½ dach","one-and-a-half day's work",1,"September",1454,1214,"126r"
247,"1 s","te zeelen","for cords",1,"September",1454,1214,"126r"
248,"5 pl","te latten","for battens",1,"September",1454,1214,"126r"
249,"3 s","verdient","earned for unstated work",1,"September",1454,1214,"126r"
250,"10 gripen 1s 3pl","gewract 18 dage ende ½ dach dages 5 ½ s","worked for eighteen-and-a-half days at a rate of 5 ½ s per day",1,"September",1454,1214,"126r"
251,"26 pl","te dwelen","for cord (for winding)",1,"September",1454,1214,"126r"
252,"3 s 3 pl","3 pande oermaect van elken pand 5pl","three buildings transferred (remade) for each building 5 pl",1,"October",1454,1214,"126v"
253,"8 s","gedect den nouwen koer 4 dage dages 2s","roofed the new (narrow?) choir (courtyard? watchtower?) for four days at a rate of 2 s per day",1,"October",1454,1214,"126v"
254,"6 s","4 dage dages 1 ½ s","four days’ work (unstated) at a rate of 1 ½ per day",1,"October",1454,1214,"126v"
255,"7 s","gewracht 4 dage dages 7pl","worked four days at a rate of 7 pl per day",1,"October",1454,1214,"126v"
256,"7 ½ s","te stroe de nouwen koer mede te vorstene","for straw (thatch?) with which to cover (roof?) the new (narrow?) choir (courtyard? Watchtower?",1,"October",1454,1214,"126v"
257,"8 s","verdient","earned for unstated wagoneering work",1,"October",1454,1214,"126v"
258,"8 s","op die selve varc verdient","earned for the same (wagon) trip",1,"October",1454,1214,"126v"
259,"25 s","gewracht 5 daghe dages 5s","worked five days at a daily rate of 5 s",1,"October",1454,1214,"126v"
260,"22 s","van den antiffenere te bijndene","for binding the antiphonary",1,"November",1454,1214,"127r"
261,"1 s","gewracht ½ dach","half-day’s work",1,"November",1454,1214,"127r"
262,"1 s","gewracht 1 ½ dach","one-and-a-half day's work",1,"November",1454,1214,"127r"
263,"3 gripen","betaelt van den lesten wercke boven die apostelen","for the assembly (frame?) work above the apostles",1,"November",1454,1214,"127r"
264,"28 s","van verwene betaelt","paid for painting",1,"November",1454,1214,"127r"
265,"2 s","in de kercke verdient","earned for service (work) in the church",1,"December",1454,1214,"127v"
266,"2 s","unstated work",,1,"December",1454,1214,"127v"
267,"36 s","2 autaercledere gecocht","purchased two altar cloths",1,"January",1455,1214,"128r"
268,"5 s","Gewracht 2 ½ dach dages 2s","worked two-and-a-half days at a daily rate of 2 s",1,"January",1455,1214,"128r"
