"person_to_item_id","person_id","item_id"
363,280,313
364,268,314
365,281,315
366,71,316
367,72,317
368,15,318
369,27,319
370,170,320
371,145,321
372,144,322
373,146,323
374,281,324
375,282,325
376,71,326
377,72,327
378,170,328
379,15,329
380,145,330
381,27,331
382,144,332
383,146,333
384,15,334
385,27,335
386,170,336
387,145,337
388,144,338
389,27,339
390,144,340
391,283,341
392,71,342
393,284,343
394,285,344
395,286,345
396,287,346
397,288,347
398,289,348
399,290,349
400,291,350
401,292,351
402,22,352
403,22,353
404,293,354
405,293,355
406,205,356
407,220,357
408,294,358
409,295,359
410,295,360
411,295,361
412,217,362
413,213,363
414,214,364
415,297,365
416,297,366
417,204,367
418,212,368
419,212,369
420,210,370
421,209,371
422,206,372
423,179,373
424,180,373
425,306,373
426,307,373
427,48,374
428,234,375
429,308,375
430,309,376
431,132,377
432,133,378
433,304,379
434,305,379
435,132,380
436,133,381
437,146,382
438,304,383
439,305,383
440,48,384
441,49,384
442,146,385
443,310,386
444,310,387
445,310,388
446,311,389
447,146,390
448,311,391
449,311,392
450,146,393
451,313,394
452,314,394
453,146,395
454,144,396
455,48,397
456,49,397
457,315,398
458,179,399
459,316,400
460,317,401
461,48,402
462,49,402
463,318,403
464,319,404
465,132,405
466,320,406
467,321,407
468,322,408
469,323,409
470,48,410
471,312,410
472,324,411
473,50,412
474,15,413
475,145,414
476,325,415
477,326,416
478,146,417
479,327,418
480,345,419
481,328,420
482,329,420
483,330,420
484,331,421
485,332,422
486,333,422
487,334,422
488,335,422
489,336,422
490,337,422
491,338,422
492,339,423
493,340,423
494,341,423
495,146,424
496,346,425
497,358,426
498,144,427
499,269,427
500,71,428
501,347,429
502,15,430
503,348,431
504,145,432
505,349,433
506,144,434
507,22,435
508,350,436
509,351,437
510,71,438
511,347,439
512,352,440
513,353,441
514,354,442
515,355,443
516,145,444
517,349,445
518,144,446
519,15,447
520,348,448
521,132,449
522,133,450
523,71,451
524,347,452
525,352,453
526,15,454
527,145,455
528,144,456
529,349,457
530,48,458
531,356,459
532,356,460
533,357,461
534,146,462
535,48,463
536,359,464
537,360,465
538,361,466
539,362,467
540,353,468
541,354,469
542,355,470
543,71,471
544,347,472
545,352,473
546,15,474
547,227,475
548,348,476
549,145,477
550,144,478
551,132,479
552,133,480
553,146,481
554,132,482
555,133,483
556,304,484
557,305,484
558,71,485
559,347,486
560,352,487
561,353,488
562,354,489
563,355,490
564,360,491
565,361,491
566,360,492
567,362,493
568,15,494
569,348,495
570,144,496
571,349,497
572,145,498
573,227,499
574,15,500
575,363,501
576,72,502
577,347,503
578,352,504
579,356,505
580,356,506
581,356,507
582,15,508
583,348,509
584,349,510
585,227,511
586,144,512
587,356,513
588,356,514
589,356,515
590,146,516
591,146,517
592,71,518
593,347,519
594,352,520
595,353,521
596,354,522
597,355,523
598,15,524
599,348,525
600,227,526
601,144,527
602,205,528
603,349,529
604,348,530
605,227,531
606,349,532
607,364,533
608,269,534
609,356,535
610,356,536
611,356,537
612,132,538
613,133,539
614,356,540
615,353,541
616,354,542
617,355,543
618,269,544
619,349,545
620,71,546
621,347,547
622,352,548
623,349,549
624,144,550
625,48,551
626,348,552
627,15,553
628,145,554
629,348,555
630,132,556
631,133,557
632,132,558
633,133,558
634,164,558
635,166,558
636,365,559
637,366,560
638,367,561
639,368,561
640,304,562
641,369,562
642,304,563
643,369,563
644,367,564
645,368,564
646,15,565
647,348,566
648,145,567
649,132,568
650,133,569
651,146,570
652,48,571
653,49,572
654,132,573
655,133,573
656,346,574
657,346,575
658,346,576
659,346,577
660,346,578
661,346,579
662,370,580
663,371,581
664,372,582
665,373,583
666,22,584
667,44,585
668,44,585
669,44,587
670,44,588
671,380,589
672,387,590
673,212,591
674,220,592
675,294,593
676,204,594
677,209,595
678,214,596
679,384,597
680,385,598
681,86,599
682,386,600
683,203,601
684,132,602
685,133,603
686,35,604
687,391,605
688,392,606
689,393,607
690,393,608
691,162,609
692,394,610
693,132,611
694,133,611
695,162,612
696,394,613
697,162,614
698,394,615
699,395,616
700,48,617
701,312,618
702,396,619
703,397,620
704,397,621
705,398,622
706,399,623
707,132,624
708,133,624
709,162,625
710,394,626
711,400,627
712,346,628
713,401,629
714,402,630
715,26,631
716,348,632
717,145,633
718,27,634
719,132,635
720,133,636
721,397,637
722,396,638
723,396,639
724,22,640
725,402,641
726,404,642
727,402,643
728,26,644
729,348,645
730,145,646
731,349,647
732,397,648
733,26,649
734,348,650
735,48,651
736,145,652
737,349,653
738,397,654
739,405,655
740,405,656
741,26,657
742,145,658
743,348,659
744,349,660
745,407,661
746,405,662
747,348,663
748,397,664
749,304,665
750,305,666
751,407,667
752,132,668
753,133,669
754,304,670
755,408,671
756,26,672
757,348,673
758,145,674
759,48,675
760,312,676
761,132,677
762,133,678
763,409,679
764,407,680
765,48,681
766,410,682
767,312,683
768,411,684
769,412,685
770,132,686
771,133,687
772,413,688
773,414,689
774,133,690
775,415,691
776,416,692
777,417,693
778,132,694
779,38,694
780,304,695
781,305,696
782,132,697
783,133,698
784,48,699
785,312,700
786,410,701
787,411,702
788,410,703
789,411,704
790,132,705
791,133,706
792,48,707
793,418,708
794,269,709
795,304,710
796,305,711
797,419,712
798,420,713
799,421,714
800,132,715
801,133,716
802,48,717
803,418,718
804,26,719
805,348,720
806,422,721
807,269,722
808,423,723
809,132,724
810,133,725
811,26,726
812,348,727
813,48,728
814,418,729
815,422,730
816,132,731
817,133,732
818,26,733
819,348,734
820,422,735
821,48,736
822,418,737
823,424,738
824,420,739
825,425,740
826,304,741
827,305,741
828,426,742
829,427,743
830,428,744
831,429,745
832,429,746
833,430,747
834,431,748
835,348,749
836,422,750
837,132,751
838,133,752
839,48,753
840,418,754
841,424,755
842,420,756
843,425,757
844,419,758
845,324,759
846,89,760
847,88,761
848,432,762
849,146,763
850,88,764
851,348,765
852,26,766
853,48,767
854,418,768
855,48,769
856,418,770
857,48,771
858,418,772
859,324,773
860,433,774
861,434,775
862,435,776
863,436,777
864,437,777
865,438,777
866,439,778
867,48,779
868,312,780
869,297,781
870,440,781
871,48,782
872,418,783
873,48,784
874,418,785
875,132,786
876,133,787
877,441,788
878,442,789
879,398,790
880,380,791
881,380,792
882,346,793
883,443,794
884,419,795
885,419,796
886,444,797
887,86,798
888,445,798
889,86,799
890,26,800
891,367,801
892,441,802
893,48,803
894,418,804
895,132,805
896,133,806
897,132,807
898,133,808
899,397,809
900,44,810
901,42,810
902,446,811
903,447,812
904,367,813
905,448,814
906,448,815
907,449,816
908,450,817
909,451,818
910,267,819
911,48,820
912,312,821
913,48,822
914,312,823
915,132,824
916,133,825
917,452,826
918,48,827
919,48,828
920,132,829
921,133,830
922,324,831
923,453,832
924,48,833
925,312,834
926,454,835
927,454,836
928,132,837
929,133,838
930,24,839
931,132,840
932,133,841
933,132,842
934,455,843
935,424,844
936,89,854
937,441,846
938,456,847
939,457,848
940,162,849
941,432,850
942,48,851
943,312,852
944,458,853
945,459,854
946,461,855
947,462,855
948,463,856
949,464,856
950,465,856
951,466,857
952,467,857
953,468,857
954,469,857
955,470,857
956,471,857
957,472,857
958,473,858
959,474,858
960,475,858
961,48,859
962,312,860
963,48,861
964,312,862
965,48,863
966,312,864
967,48,865
968,312,866
969,132,867
970,133,868
971,211,869
972,476,870
973,477,871
974,44,872
975,478,873
976,479,874
977,44,875
978,45,875
979,44,876
980,45,876
981,44,877
982,45,877
983,45,878
984,45,879
985,480,880
986,480,881
987,480,882
988,44,883
989,45,883
990,482,883
991,483,883
992,44,884
993,44,885
994,482,885
995,483,885
996,481,886
997,481,887
998,481,888
999,481,889
1000,481,890
1001,481,891
1002,22,892
1003,22,893
1004,22,894
1005,23,895
1006,24,896
1007,418,897
1008,488,898
1009,489,899
1010,490,900
1011,491,901
1012,452,902
1013,492,903
1014,493,904
1015,26,905
1016,35,906
1017,484,907
1018,485,907
1019,486,907
1020,146,908
1021,132,909
1022,133,910
1023,327,911
1024,48,912
1025,418,913
1026,423,914
1027,267,915
1028,267,916
1029,418,917
1030,48,918
1031,397,919
1032,424,920
1033,26,921
1034,422,922
1035,348,923
1036,44,924
1037,385,925
1038,367,926
1039,432,926
1040,133,927
1041,132,928
1042,494,929
1043,495,930
1044,398,931
1045,132,932
1046,133,933
1047,423,934
1048,535,935
1049,146,936
1050,496,937
1051,497,938
1052,132,939
1053,133,940
1054,498,941
1055,367,942
1056,432,942
1057,499,943
1058,500,943
1059,501,943
1060,502,944
1061,170,945
1062,422,946
1063,503,947
1064,48,948
1065,504,948
1066,505,949
1067,26,950
1068,170,950
1069,422,950
1070,26,951
1071,506,952
1072,170,953
1073,422,953
1074,489,954
1075,48,955
1076,504,956
1077,44,957
1078,45,957
1079,507,958
1080,507,959
1081,507,960
1082,508,961
1083,146,962
1084,22,963
1085,132,964
1086,133,965
1087,509,966
1088,396,967
1089,397,968
1090,26,969
1091,170,970
1092,422,971
1093,397,972
1094,510,973
1095,297,974
1096,511,975
1097,512,975
1098,513,975
1099,517,976
1100,518,976
1101,519,976
1102,520,976
1103,521,976
1104,522,976
1105,523,976
1106,524,976
1107,525,976
1108,514,977
1109,515,977
1110,516,977
1111,526,978
1112,527,978
1113,528,978
1114,481,979
1115,529,980
1116,86,981
1117,520,982
1118,531,983
1119,532,984
1120,146,985
1121,508,986
1122,26,987
1123,422,988
1124,170,989
1125,48,990
1126,132,991
1127,133,992
1128,132,993
1129,133,994
1130,48,995
1131,504,996
1132,533,997
1133,146,998
1134,534,999
1135,22,1000
1136,23,1001
1137,24,1002
1138,44,1003
1139,45,1003
1140,132,1004
1141,133,1005
1142,48,1006
1143,504,1007
1144,432,1008
1145,540,1009
1146,324,1010
1147,44,1011
1148,45,1011
1149,541,1012
1150,132,1013
1151,133,1013
1152,146,1014
1153,48,1015
1154,542,1016
1155,48,1017
1156,542,1018
1157,78,1019
1158,48,1020
1159,542,1021
1160,146,1022
1161,542,1023
1162,146,1024
1163,543,1025
1164,544,1026
1165,211,1026
1166,211,1027
1167,545,1028
1168,546,1029
1169,547,1030
1170,179,1031
1171,180,1031
1172,548,1032
1173,549,1032
1174,623,1033
1175,179,1034
1176,180,1034
1177,550,1035
1178,551,1036
1179,179,1037
1180,180,1037
1181,552,1038
1182,553,1039
1183,133,1040
1184,324,1041
1185,540,1042
1186,432,1043
1187,146,1044
1188,26,1045
1189,133,1046
1190,133,1047
1191,552,1048
1192,552,1049
1193,133,1050
1194,324,1050
1195,146,1051
1196,396,1052
1197,553,1053
1198,554,1053
1199,555,1053
1200,556,1054
1201,557,1055
1202,558,1055
1203,559,1055
1204,560,1055
1205,561,1055
1206,562,1055
1207,563,1055
1208,564,1056
1209,565,1056
1210,566,1056
1211,567,1057
1212,568,1057
1213,569,1057
1214,398,1058
1215,158,1059
1216,570,1059
1217,572,1060
1218,540,1061
1219,571,1062
1220,48,1063
1221,418,1064
1222,26,1065
1223,348,1066
1224,573,1067
1225,144,1068
1226,574,1069
1227,396,1070
1228,133,1071
1229,575,1072
1230,146,1073
1231,576,1074
1232,144,1075
1233,577,1076
1234,133,1077
1235,575,1077
1236,26,1078
1237,422,1079
1238,146,1080
1239,540,1081
1240,432,1082
1241,78,1083
1242,48,1084
1243,418,1085
1244,380,1086
1245,624,1087
1246,86,1088
1247,22,1089
1248,23,1090
1249,24,1091
1250,410,1092
1251,584,1092
1252,582,1093
1253,164,1094
1254,583,1094
1255,146,1095
1256,578,1096
1257,579,1096
1258,580,1096
1259,586,1097
1260,48,1098
1261,410,1099
1262,164,1100
1263,583,1100
1264,585,1101
1265,410,1102
1266,548,1103
1267,587,1104
1268,588,1105
1269,410,1106
1270,548,1107
1271,589,1108
1272,423,1109
1273,410,1110
1274,548,1111
1275,144,1112
1276,294,1113
1277,590,1114
1278,498,1115
1279,498,1116
1280,498,1117
1281,498,1118
1282,498,1119
1283,591,1120
1284,590,1121
1285,592,1122
1286,592,1123
1287,179,1124
1288,593,1125
1289,593,1126
1290,594,1127
1291,596,1128
1292,596,1129
1293,595,1130
1294,597,1131
1295,597,1132
1296,598,1133
1297,599,1134
1298,599,1135
1299,600,1136
1300,601,1137
1301,543,1138
1302,543,1139
1303,602,1140
