item_id,person_id,person_fname,person_lname,item_desc_translation,month_y,year_y
98,53,Willem,"No surname given, only Willem",brought two wagon loads of stone from Ziegene on the Maas which cost (op die cuycte),July,1453
105,53,Willem,"No surname given, only Willem",one-and-a-half day's work,July,1453
115,53,Willem,"No surname given, only Willem",two-and-a-half days’ work,August,1453
49,54,--,Scrivere van Syntruden,to write a martyrology (legend) and book with paint,October,1452
50,55,--,Anonymous Carpenter,worked for two days,October,1452
50,56,--,Anonymous Carpenter,worked for two days,October,1452
53,57,--,Anonymous Roofer,4 ½ days of work in the church house each day 23 pl,October,1452
53,58,--,Anonymous Roofer,4 ½ days of work in the church house each day 23 pl,October,1452
57,59,--,Anonymous Carpenter,worked on the farm in Dormale,October,1452
57,60,--,Anonymous Carpenter,worked on the farm in Dormale,October,1452
51,61,--,Anonymous Book Binder,for binding a large Psalter,October,1542
52,62,--,Anonymous Cloth Merchant,purchased 30 ells of linen cloth each ell 7 pl,October,1452
54,63,--,Anonymous Tile (roof) Vendor,purchased tiles (roof tiles?),October,1452
55,64,--,Anonymous Merchant,for lime (plaster) and sand (possibly for mortar?),October,1452
58,65,--,Anonymous Merchant,two bushels of lath battens (for roofing?),October,1452
66,66,--,Anonymous Glazier,39 pounds of glass restored each pound 7 pl,October,1452
59,67,--,Anonymous Carpenter,for making the stand 3 ½ days,October,1452
59,68,--,Anonymous Carpenter,for making the stand 3 ½ days,October,1452
60,69,--,Anonymous Sawyer,3 ½ days work,October,1452
60,70,--,Anonymous Sawyer,3 ½ days work,October,1452
61,71,Mathijs,van Hakedeuel,worked six days each day 4 s,October,1452
62,71,Mathijs,van Hakedeuel,another 5 days each day 3 s,October,1452
298,71,Mathijs,van Hakedeuel,worked five days at a rate of 4 s per day,July,1455
316,71,Mathijs,van Hakedeuel,worked five days at a rate of 4 s per day,September,1455
326,71,Mathijs,van Hakedeuel,five days’ work,October,1455
342,71,Mathijs,van Hakedeuel,for work (service),October,1455
428,71,Mathijs,van Hakedeuel,four days work hewing (timber) in the lodge at a daily rate of 4 s,July,1456
438,71,Mathijs,van Hakedeuel,four days’ work,August,1456
451,71,Mathijs,van Hakedeuel,six days’ work,August,1456
471,71,Mathijs,van Hakedeuel,three-and-a-half days’ work,August,1456
485,71,Mathijs,van Hakedeuel,six days’ work,August,1456
518,71,Mathijs,van Hakedeuel,nine days’ work,September,1456
546,71,Mathijs,van Hakedeuel,twenty-three-days’ work,October,1456
63,72,Jan(?),Apprentice of Mathijs van Hakedeuel,five days’ work each day 3 s,October,1452
64,72,Jan(?),Apprentice of Mathijs van Hakedeuel,one day's work,October,1452
299,72,Jan(?),Apprentice of Mathijs van Hakedeuel,five days’ work at a rate of 3 s per day,July,1455
317,72,Jan(?),Apprentice of Mathijs van Hakedeuel,five days’ work at a rate of 3 s per day,September,1455
327,72,Jan(?),Apprentice of Mathijs van Hakedeuel,four-and-a-half days work,October,1455
502,72,Jan(?),Apprentice of Mathijs van Hakedeuel,ten day’s work,September,1456
65,73,--,Anonymous Carpenter,one-and-a-half day's work,October,1452
65,74,--,Anonymous Carpenter,one-and-a-half day's work,October,1452
67,75,--,Anonymous Glassmaker,33 feet of new glass each foot 1 ½ s,October,1452
64,76,--,Apprentice 2 of Mathijs van Hakedeuel,one day's work,October,1452
69,77,--,Anonymous Potmaker,for work,November,1452
1019,78,Cornielis,"No surname given, only Cornielis",2 bushels of batten,September,1460
1083,78,Cornielis,"No surname given, only Cornielis",two bushels of lath,June,1461
70,79,--,Anonymous Cloth Merchant,10 and one quarter ells ‘twirled’ cloth,November,1452
71,79,--,Anonymous Cloth Merchant,purchased 1 ½ ells of cloak material,November,1452
72,80,Jan,van Breede,for making a holy water cup and other work,November,1452
162,80,Jan,van Breede,for work,December,1453
73,81,--,Anonymous Glassmaker,for work,December,1452
76,83,--,Anonymous Silver Smith,for making a silver censer,January,1453
77,84,--,Anonymous Blacksmith,two clock brackets (iron) weighing 54 pounds each pound ½ s,January,1453
78,85,Leonart,Meersman,for work done in the church,January,1453
79,86,Willem,Godyns,for locks and other work in the church,February,1453
211,86,Willem,Godyns,earned for various work,June,1454
599,86,Willem,Godyns,earned for various work in the church in (14)56 and (14)57,July,1457
798,86,Willem,Godyns,earned for making(?) and closing the vault and the weigh house(?),June,1458
799,86,Willem,Godyns,earned for more various work,June,1458
981,86,Willem,Godyns,earned for various work for the church,June,1460
1088,86,Willem,Godyns,paid … for earnings for various work in the church,June,1461
80,87,--,Anonymous Woodworker(Carver),purchased fifteen statuettes) alternate (purchased 15 patches (purchased 15 axes,February,1453
81,88,Henric,Tel,three days’ work hewing wood and setting a post,March,1453
123,88,Henric,Tel,two days’ work (unspecified) at a rate of 7 pl per day,September,1453
130,88,Henric,Tel,two days’ work (unspecified),September,1453
278,88,Henric,Tel,for work (service),April,1455
761,88,Henric,Tel,one-and-a-half day's work,April,1458
764,88,Henric,Tel,one day's work,April,1458
82,89,Jan ,Mertens,four-and-a-half days’ work for the same work (hewing wood and setting a post) each day 7 pl,March,1453
760,89,Jan ,Mertens,one day's work,April,1458
854,89,Jan ,Mertens,½ quart of beer for the font,May,1459
84,90,Jan,van Bree ,earned toward a water can?,March,1453
85,91,--,Anonymous Laborer,for sweeping the gutters on the church and for cleaning the vault,March,1453
86,92,--,Anonymous Vendor,purchased two m (chalk or lime) and one h om,April,1453
87,93,--,Anonymous Roofer,worked in the church seven-and-a-half days each day 23 pl,April,1453
87,94,--,Anonymous Roofer,worked in the church seven-and-a-half days each day 23 pl,April,1453
88,95,--,Anonymous Roofing Supplier,purchased 850 roof tiles at a cost of 2 ½ s per hundred tiles,April,1453
89,96,Ellen,Winters,earned for various work in the church,April,1453
93,96,Ellen,Winters,earned for various work,June,1453
152,96,Ellen,Winters,by horse for service (to work) in Dormale,November,1453
172,96,Ellen,Winters,for sewing services in the church,January,1454
208,96,Ellen,Winters,for work cleaning in the church,June,1454
291,96,Ellen,Winters,paid for sewing fabric,June,1455
90,97,Liue,Hamels,for woolen thread to make the curtains,May,1453
91,107,--,Anonymous Laborer,for cleaning the vaults,May,1453
205,118,Jan,der Hane,unstated work,June,1454
92,119,--,Anonymous Cloth Merchant,one ell Irish linen purchased to be used for clothing for the Mass,May,1453
94,120,Master Willem,van Colene,paid for carving three statuettes 9 peters (per statuette) [alternate-paid for cutting three patches 9 peters (per patch)],June,1453
138,120,Master Willem,van Colene,(en bielgen) te stofferenne (for painting the panel (and statuettes),October,1453
189,120,Master Willem,van Colene,for making the crucifix,April,1454
282,120,Master Willem,van Colene,for making and painting the wood,April,1455
95,121,--,Anonymous Wood Vendor,for high-quality (shrine) wood,June,1453
96,125,--,Anonymous Wood/Lumber Vendor,purchased wood,July,1453
100,129,--,Anonymous Blacksmith,for nails,July,1453
101,130,--,Anonymous Vendor,for twine,July,1453
102,131,--,Anonymous Wood/Lumber Vendor,for high-grade cabinetry wood [alternate-for wood for a shrine],July,1453
103,132,Henric,Merbeys,three days’ work a 2 s per day,July,1453
139,132,Henric,Merbeys,four days’ work (unspecified),October,1453
145,132,Henric,Merbeys,six days’ work,October,1453
155,132,Henric,Merbeys,six-and-a-half days’ work,November,1453
164,132,Henric,Merbeys,four days’ work with Kendelren at the (female) choir school,December,1453
174,132,Henric,Merbeys,one day's work,January,1454
183,132,Henric,Merbeys,unstated work,March,1454
195,132,Henric,Merbeys,for two-and-a-half days’ work on the tower,May,1454
198,132,Henric,Merbeys,one day's work,May,1454
206,132,Henric,Merbeys,worked on the tower,June,1454
237,132,Henric,Merbeys,for making the stand two-and-a-half days at a rate of 2 s per day,August,1454
245,132,Henric,Merbeys,one-and-a-half day's work,September,1454
261,132,Henric,Merbeys,half-day’s work,November,1454
268,132,Henric,Merbeys,worked two-and-a-half days at a daily rate of 2 s,January,1455
377,132,Henric,Merbeys,three days’ work (unspecified) at a daily rate of 2 s,July,1456
380,132,Henric,Merbeys,three-and-a-half days’ work,August,1456
405,132,Henric,Merbeys,one day's work,February,1457
449,132,Henric,Merbeys,five days’ work,August,1456
479,132,Henric,Merbeys,one-and-a-half day's work,August,1456
482,132,Henric,Merbeys,five days’ work,August,1456
538,132,Henric,Merbeys,one day's work,October,1456
556,132,Henric,Merbeys,one day's work,November,1456
558,132,Henric,Merbeys,earned for the expense of making the cap for the vaulted choir,November,1456
568,132,Henric,Merbeys,seven days’ work,November,1456
573,132,Henric,Merbeys,one day's work,November,1456
602,132,Henric,Merbeys,one-and-a-half day's work,August,1457
611,132,Henric,Merbeys,for making doorways,September,1457
624,132,Henric,Merbeys,five days in the church to make the centering for buliding an arch,September,1457
635,132,Henric,Merbeys,three days’ work (sawing),September,1457
668,132,Henric,Merbeys,(for work) at Dormale,November,1457
677,132,Henric,Merbeys,eight days’ work,November,1457
686,132,Henric,Merbeys,two days’ work,December,1457
694,132,Henric,Merbeys,purchased two pieces of lumber … that was for use at Dieric Metioel’s house,March,1458
697,132,Henric,Merbeys,six-and-a-half days’ work,March,1458
705,132,Henric,Merbeys,5 ½ days’ work,March,1458
715,132,Henric,Merbeys,three days’ work in Dallem,March,1458
724,132,Henric,Merbeys,four days’ work,April,1458
731,132,Henric,Merbeys,three days’ work,April,1458
751,132,Henric,Merbeys,one day's work,April,1458
786,132,Henric,Merbeys,three days’ work,June,1458
805,132,Henric,Merbeys,three days’ work,June,1458
807,132,Henric,Merbeys,one day's work,June,1458
824,132,Henric,Merbeys,half-day's work,October,1458
829,132,Henric,Merbeys,one day’s work,November,1458
837,132,Henric,Merbeys,three-and-a-half day’s work and one-and-a-half days’ work,December,1458
840,132,Henric,Merbeys,two days on the tower,February,1459
842,132,Henric,Merbeys,two days’ work,February,1459
867,132,Henric,Merbeys,two days’ work,June,1459
909,132,Henric,Merbeys,two days’ work,September,1459
928,132,Henric,Merbeys,worked two-and-a-half days on the clock that strikes the hours,November,1459
932,132,Henric,Merbeys,three day’s work,December,1459
939,132,Henric,Merbeys,worked six-and-a-half days at a daily rate of 2 s,April,1460
964,132,Henric,Merbeys,worked three days on the tribune (or stage) and other work,June,1460
991,132,Henric,Merbeys,two day’s work,June,1460
993,132,Henric,Merbeys,five day’s work,June,1460
1004,132,Henric,Merbeys,work on the tower one-and-a-half days,July,1460
1013,132,Henric,Merbeys,each worked a half day,September,1460
104,133,Henric ,Tullere,three days’ work,July,1453
139,133,Henric ,Tullere,four days’ work (unspecified),October,1453
146,133,Henric ,Tullere,six days’ work,October,1453
156,133,Henric ,Tullere,six-and-a-half days’ work,November,1453
163,133,Henric ,Tullere,worked at the (female) choir school,December,1453
173,133,Henric ,Tullere,one-and-a-half day's work,January,1454
184,133,Henric ,Tullere,unstated work,March,1454
196,133,Henric ,Tullere,two-and-a-half days’ work,May,1454
207,133,Henric ,Tullere,unstated work,June,1454
